loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
18600,60 months,11.83,412.15,B,10+ years,RENT,45200,Not Verified,debt_consolidation,23.71,1,709,73.1,Charged Off
14700,36 months,6.18,448.4,A,7 years,RENT,172900,Verified,major_purchase,14.62,0,765,56.0,Fully Paid
7200,60 months,11.46,158.2,B,< 1 year,MORTGAGE,33000,Verified,debt_consolidation,12.11,1,720,53.0,Charged Off
4100,60 months,23.6,117.0,F,7 years,MORTGAGE,51000,Source Verified,credit_card,6.53,0,663,91.6,Fully Paid
5800,36 months,7.65,180.82,A,5 years,MORTGAGE,52900,Verified,debt_consolidation,19.96,0,728,64.6,Charged Off
2900,36 months,20.62,108.69,E,2 years,MORTGAGE,39100,Source Verified,credit_card,34.89,0,654,70.0,Charged Off
9100,36 months,28.78,380.25,G,10+ years,RENT,71300,Verified,major_purchase,14.22,0,672,76.9,Charged Off
4500,36 months,13.56,152.84,C,4 years,MORTGAGE,72600,Source Verified,debt_consolidation,2.96,0,695,71.6,Charged Off
8100,36 months,12.95,272.73,B,10+ years,RENT,44600,Not Verified,debt_consolidation,8.34,0,715,32.9,Fully Paid
9000,60 months,10.01,191.27,B,5 years,MORTGAGE,146900,Verified,debt_consolidation,18.25,0,697,31.5,Charged Off
7200,36 months,14.34,247.27,D,10+ years,RENT,51600,Source Verified,credit_card,9.06,0,696,61.0,Fully Paid
7000,36 months,18.46,254.69,E,10+ years,OWN,135600,Source Verified,home_improvement,15.02,0,657,63.1,Charged Off
4600,60 months,7.15,91.41,A,4 years,MORTGAGE,38100,Not Verified,credit_card,6.49,0,748,50.9,Fully Paid
15000,60 months,20.16,398.74,E,10+ years,MORTGAGE,31000,Not Verified,credit_card,9.96,0,678,59.1,Fully Paid
13100,36 months,14.93,453.67,C,4 years,RENT,36400,Verified,debt_consolidation,16.81,1,696,75.0,Charged Off
6200,36 months,6.74,190.7,A,< 1 year,MORTGAGE,83400,Source Verified,debt_consolidation,34.43,1,740,57.3,Fully Paid
10400,36 months,10.61,338.57,B,3 years,OWN,112100,Verified,debt_consolidation,18.34,0,723,21.8,Fully Paid
7700,60 months,7.27,153.45,A,10+ years,MORTGAGE,39300,Not Verified,credit_card,19.69,0,755,73.4,Charged Off
11800,36 months,13.46,400.21,C,5 years,MORTGAGE,49200,Verified,credit_card,14.46,0,702,57.0,Fully Paid
16900,36 months,7.2,523.37,A,7 years,RENT,72900,Not Verified,credit_card,20.11,1,743,25.4,Fully Paid
11600,36 months,6.85,357.38,A,10+ years,MORTGAGE,159100,Verified,credit_card,9.17,0,758,66.8,Fully Paid
40000,36 months,10.26,1295.58,B,2 years,RENT,311500,Verified,credit_card,7.45,0,726,40.1,Fully Paid
9100,36 months,23.27,353.54,E,1 year,OWN,92500,Not Verified,debt_consolidation,16.61,0,686,36.3,Fully Paid
11300,36 months,10.06,364.94,B,1 year,RENT,186900,Verified,debt_consolidation,5.79,0,706,32.4,Fully Paid
6700,36 months,16.69,237.84,D,3 years,RENT,91800,Source Verified,debt_consolidation,16.62,0,680,58.1,Charged Off
6400,36 months,9.99,206.48,B,10+ years,OWN,70700,Verified,credit_card,17.01,1,723,87.8,Charged Off
14900,36 months,19.18,547.53,D,2 years,RENT,123800,Source Verified,debt_consolidation,18.1,1,674,51.0,Charged Off
8100,36 months,6.41,247.93,A,4 years,RENT,43000,Source Verified,home_improvement,10.8,0,748,73.5,Fully Paid
11600,36 months,12.77,389.57,B,1 year,RENT,98600,Verified,debt_consolidation,26.58,0,694,85.8,Charged Off
10500,36 months,14.98,363.88,D,6 years,MORTGAGE,64600,Verified,credit_card,14.94,0,687,77.1,Fully Paid
22200,60 months,7.13,440.95,A,8 years,MORTGAGE,80700,Verified,debt_consolidation,49.18,0,746,36.3,Charged Off
1300,36 months,8.52,41.05,A,< 1 year,RENT,21600,Not Verified,small_business,17.32,0,763,59.1,Fully Paid
14000,60 months,7.11,277.94,A,10+ years,RENT,23800,Source Verified,debt_consolidation,12.96,0,748,53.1,Fully Paid
24300,60 months,10.07,517.14,B,2 years,RENT,14900,Source Verified,debt_consolidation,35.47,0,711,46.9,Charged Off
8400,60 months,14.76,198.78,C,4 years,MORTGAGE,78000,Verified,credit_card,13.1,1,717,42.0,Fully Paid
12000,60 months,15.46,288.38,D,2 years,RENT,121800,Source Verified,credit_card,28.06,2,675,45.6,Charged Off
27000,60 months,12.41,606.21,C,6 years,MORTGAGE,89200,Verified,credit_card,17.09,0,692,65.6,Fully Paid
8200,36 months,19.75,303.7,E,10+ years,RENT,33400,Source Verified,debt_consolidation,11.58,1,675,66.0,Charged Off
7400,36 months,12.23,246.6,C,10+ years,RENT,72900,Source Verified,debt_consolidation,14.27,1,713,24.6,Charged Off
10400,36 months,13.38,352.32,C,1 year,RENT,37300,Not Verified,medical,18.3,0,701,43.0,Charged Off
9900,60 months,8.68,203.97,B,< 1 year,OWN,41000,Verified,credit_card,25.07,0,717,8.7,Charged Off
9800,36 months,9.66,314.66,B,10+ years,OWN,128900,Not Verified,credit_card,13.04,0,717,40.3,Fully Paid
10800,36 months,6.02,328.65,A,10+ years,RENT,16700,Verified,credit_card,16.86,0,752,42.2,Fully Paid
9000,36 months,11.43,296.48,B,< 1 year,RENT,107800,Not Verified,debt_consolidation,18.77,0,736,85.7,Fully Paid
22100,60 months,12.69,499.34,B,10+ years,MORTGAGE,40200,Source Verified,debt_consolidation,17.21,0,720,63.3,Charged Off
